Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
Sri Lanka,586,161.0,3.63,586,1,won,Zimbabwe,Colombo (SSC),2001-12-27,1,6
Australia,585,,3.97,328,2,won,Pakistan,Adelaide,1972-12-22,0,10
West Indies,585,,4.59,256,2,won,Australia,Perth,1975-12-12,0,10
Australia,585,153.83333333333334,3.8,232,2,won,New Zealand,Brisbane,2004-11-18,0,10
New Zealand,585,153.0,3.82,659,3,won,Sri Lanka,Christchurch,2018-12-26,1,4
Australia,584,183.83333333333334,3.17,384,2,draw,England,Leeds,1934-07-20,0,10
South Africa,584,153.0,3.81,584,1,draw,Pakistan,Abu Dhabi,2010-11-20,1,9
England,583,258.0,2.25,295,3,draw,West Indies,Birmingham,1957-05-30,1,4
West Indies,583,196.0,2.97,230,2,draw,England,Kingston,1974-02-16,1,9
India,583,167.0,3.49,583,1,draw,New Zealand,Ahmedabad,1999-10-29,1,7
South Africa,583,161.16666666666666,3.61,583,1,won,Bangladesh,Chattogram,2008-02-29,1,7
Australia,583,114.0,5.11,583,1,won,West Indies,Hobart,2015-12-10,1,4
England,583,154.66666666666666,3.76,583,1,draw,Pakistan,Southampton,2020-08-21,1,8
Australia,582,185.83333333333334,3.13,489,3,won,England,Adelaide,1921-01-14,0,10
West Indies,582,176.5,3.29,582,1,won,India,Chennai,1949-01-27,0,10
New Zealand,582,150.0,3.88,582,1,won,Zimbabwe,Bulawayo,2016-08-06,1,4
Australia,581,192.5,3.01,658,3,won,England,Sydney,1920-12-17,0,10
Pakistan,581,166.0,3.5,581,1,won,India,Hyderabad (Sind),1983-01-14,1,3
Australia,581,152.5,3.8,384,2,won,Bangladesh,Chattogram,2006-04-16,1,4
West Indies,581,170.0,3.41,581,1,draw,India,Basseterre,2006-06-22,0,10
England,580,163.0,3.55,580,1,won,New Zealand,Christchurch,1992-01-18,1,9
Pakistan,580,172.16666666666666,3.36,-19,2,draw,Australia,Peshawar,1998-10-15,1,9
West Indies,580,163.33333333333334,3.55,580,1,draw,Sri Lanka,Galle,2010-11-15,1,9
South Africa,580,139.0,4.17,580,1,won,Sri Lanka,Cape Town,2012-01-03,1,4
Australia,580,157.66666666666666,3.67,340,2,won,Pakistan,Brisbane,2019-11-21,0,10
New Zealand,580,123.0,4.71,580,1,won,Sri Lanka,Wellington,2023-03-17,1,4
